slug,title,primary_keyword,description,error_code
jwt-verification-failed,JWT Verification Failed,jwt verification failed,JWT signature verification failed — causes and fixes,ERR_JWS_SIGNATURE_VERIFICATION_FAILED
jwt-decode-error,JWT Decode Error,jwt decode error,Cannot decode JWT token — format and encoding issues,
jwt-unauthorized-401,JWT Unauthorized 401,jwt unauthorized 401,API returns 401 with JWT token — debugging guide,
jwt-forbidden-403,JWT Forbidden 403,jwt forbidden 403,JWT valid but access denied — role and scope issues,
jwt-audience-mismatch,JWT Audience Mismatch,jwt audience mismatch,aud claim does not match expected audience,
jwt-issuer-mismatch,JWT Issuer Mismatch,jwt issuer mismatch,iss claim validation failure,
jwt-clock-skew,JWT Clock Skew Error,jwt clock skew,Token appears expired due to server clock difference,
jwt-wrong-algorithm,JWT Wrong Algorithm Error,jwt wrong algorithm,Algorithm in header does not match verification method,
jwt-key-not-found,JWT Key Not Found,jwt key not found kid,JWKS key ID not found in key set,
jwt-token-too-long,JWT Token Too Long,jwt token too long,Handling oversized JWT tokens,
jwt-missing-claim,JWT Missing Required Claim,jwt missing claim,Required claim absent from token payload,
jwt-invalid-issuer,JWT Invalid Issuer,jwt invalid issuer,Issuer claim validation failed,
jwt-invalid-audience,JWT Invalid Audience,jwt invalid audience,Audience claim validation failed,
jwt-not-active,JWT Not Yet Active,jwt not active nbf,Token rejected because nbf is in the future,
jwt-revoked-token,JWT Revoked Token,jwt revoked token,Token has been revoked or blocklisted,
jwt-decode-base64-error,JWT Base64 Decode Error,jwt base64 decode error,Base64URL decoding failed for JWT segment,
jwt-json-parse-error,JWT JSON Parse Error,jwt json parse error,Invalid JSON in JWT header or payload,
jwt-secret-too-short,JWT Secret Too Short,jwt secret too short,HS256 secret does not meet minimum length,
jwt-rs256-verify-failed,RS256 Verification Failed,rs256 verification failed,RSA signature verification failed,
jwt-hs256-verify-failed,HS256 Verification Failed,hs256 verification failed,HMAC signature verification failed,
jwt-token-replay,JWT Token Replay Detected,jwt token replay,Same token used multiple times — replay attack,
jwt-cors-error,JWT CORS Error,jwt cors error,CORS issues when sending JWT in Authorization header,
jwt-cookie-not-sent,JWT Cookie Not Sent,jwt cookie not sent,httpOnly JWT cookie not included in request,
